,count
Oklahoma St,33
Old Dominion,33
Illinois St,33
Kansas St,32
Delaware,32
Syracuse,31
Troy,31
Toledo,31
North Carolina,31
Oakland,31
Murray St,31
Hawai'i,31
Montana St,31
S Illinois,31
Bradley,31
TCU,31
Akron,31
Kent St,31
Georgia Tech,31
Valparaiso,31
Stanford,30
Stetson,30
California,30
Southern Miss,30
San Diego,30
San Diego St,30
South Carolina,30
Weber St,30
UCF,30
Utah,30
Bucknell,30
Wyoming,30
Navy,30
Nevada,30
Nicholls,30
Oklahoma,30
Ohio,30
Pepperdine,30
Buffalo,30
C Michigan,30
Saint Mary's,30
Colorado,30
Colgate,30
Montana,30
Miami,30
McNeese,30
Mississippi,30
Miami OH,30
Indiana,30
Iowa St,30
Kansas,30
Lafayette,30
Cincinnati,30
Louisiana,30
Drake,30
DePaul,30
Florida St,30
Fresno St,30
Washington St,30
Evansville,30
Washington,30
Arkansas St,30
American,30
Alcorn St,30
Wofford,29
Winthrop,29
Boise St,29
Boston College,29
Boston U,29
UMass,29
N Iowa,29
N Kentucky,29
N Illinois,29
Notre Dame,29
Baylor,29
Belmont,29
Furman,29
BYU,29
Wake Forest,29
St John's,29
Stony Brook,29
Temple,29
Texas St,29
E Washington,29
Texas Tech,29
UCLA,29
E Michigan,29
J Madison,29
Sacramento St,29
Illinois Chicago,29
Robert Morris,29
Queens,29
Illinois,29
San Jose St,29
Gonzaga,29
Georgia St,29
Seton Hall,29
Hofstra,29
High Point,29
Houston,29
Idaho,29
Idaho St,29
Charleston,29
Omaha,29
Ohio St,29
C Arkansas,29
Marshall,29
Nebraska,29
Coastal Car,29
Monmouth,29
Arizona St,29
Arizona,29
W Michigan,29
Virginia,29
Mississippi St,29
Michigan St,29
Army,29
Auburn,29
Oregon St,29
Loyola MD,29
Loyola Mymt,29
NC State,29
Loyola Chi,29
Alabama,28
Air Force,28
Youngstown St,28
Alabama A&M,28
Tennessee St,28
E Kentucky,28
E Tennessee St,28
UC Irvine,28
UC Riverside,28
Georgia So,28
Texas,28
Portland,28
Portland St,28
Incarnate Word,28
SE Missouri St,28
SIU Edward,28
Kentucky,28
Iowa,28
Indiana St,28
Samford,28
Saint Joseph's,28
St Bonaventure,28
Holy Cross,28
Siena,28
Seattle,28
Santa Clara,28
San Francisco,28
Hou Christian,28
UCSB,28
Florida A&M,28
Elon,28
Ball St,28
Bethune,28
Bowling Green,28
G Washington,28
Georgia,28
Campbell,28
Lehigh,28
Lindenwood,28
Butler,28
Little Rock,28
Louisville,28
Longwood,28
NC Greensboro,28
Chattanooga,28
Clemson,28
Colorado St,28
Dayton,28
New Mexico,28
NW State,28
NC Wilmington,28
Northeastern,28
Niagara,28
New Orleans,28
Pittsburgh,28
N Alabama,28
N Arizona,28
NC Asheville,28
NC A&T,28
William & Mary,28
Maryland,28
Mercer,28
Minnesota,28
Missouri,28
N Colorado,28
West Virginia,28
VMI,28
UNLV,28
USC,28
UTEP,28
UTSA,28
Utah St,28
VCU,28
Vanderbilt,28
Virginia Tech,28
App State,27
Arkansas,27
Michigan,27
Memphis,27
Albany,27
UT Martin,27
W Kentucky,27
Marquette,27
Chicago St,27
Cleveland St,27
Creighton,27
N Dakota St,27
Middle Tenn,27
Milwaukee,27
Missouri St,27
Morehead St,27
N Florida,27
Fairfield,27
Florida Intl,27
UCSD,27
UConn,27
Austin Peay,27
SE Louisiana,27
Purdue,27
Rhode Island,27
Rutgers,27
Richmond,27
S Dakota St,27
S Alabama,27
LSU,27
Lipscomb,27
Charlotte,27
Lamar,27
Cal Poly,27
CS Fullerton,27
CS Northridge,27
North Dakota,27
Northwestern,27
Davidson,27
UC Davis,27
Wright St,27
Florida,27
George Mason,27
Wisconsin,27
Gardner-Webb,27
E Carolina,27
The Citadel,27
Tennessee,27
Texas A&M,27
Detroit Mercy,27
Duke,27
Towson,27
St Thomas,27
Hampton,27
South Dakota,27
Saint Louis,26
Purdue FW,26
UT Rio Grande,26
Villanova,26
W Carolina,26
Marist,26
Howard,26
Grambling,26
Green Bay,26
Grand Canyon,26
Texas A&M-CC,26
Jackson St,26
SMU,26
Providence,26
Duquesne,26
E Illinois,26
Bellarmine,26
Fordham,26
Abl Christian,26
FGCU,26
F Dickinson,26
Tenn Tech,26
Kansas City,26
Kennesaw St,26
Drexel,26
Georgetown,26
Xavier,26
Oregon,26
Oral Roberts,26
Pacific,26
CS Bakersfield,26
Cal Baptist,26
Penn St,26
Maine,26
Jacksonville,26
SF Austin,26
Rice,26
Radford,26
S Florida,26
Rider,26
Presbyterian,26
Vermont,25
W Illinois,25
UT Arlington,25
Merrimack,25
Miss Valley St,25
N Texas,25
Mt St Mary's,25
Tulane,25
Prairie View,25
Liberty,25
Long Beach St,25
New Mexico St,25
Charleston So,25
Canisius,25
New Hampshire,25
Wichita St,25
Utah Valley,25
Utah Tech,25
IU Indy,25
Tarleton St,25
UMBC,25
Florida Atlantic,25
Tulsa,25
S Indiana,25
Quinnipiac,25
Sam Houston,25
Texas So,25
UAB,25
UL Monroe,25
Iona,25
Jacksonville St,25
La Salle,25
Alabama St,24
Binghamton,24
AR-Pine Bluff,24
Stonehill,24
E Texas A&M,24
Bryant,24
Southern,24
S Carolina St,24
S Utah,24
Manhattan,24
Louisiana Tech,24
Denver,24
NJIT,23
Norfolk St,23
Morgan St,23
UMass Lowell,23
St Francis PA,23
Le Moyne,23
LIU,23
SC Upstate,22
Maryland ES,22
Cornell,22
Wagner,22
Saint Peter's,22
C Connecticut,22
Sacred Heart,22
Delaware St,21
Yale,21
Brown,21
Penn,21
Harvard,21
Coppin St,20
Columbia,20
NC Central,20
Princeton,19
Dartmouth,18
W Georgia,17
Mercyhurst,14
0,8
