team,Avg Points Per Game,Avg Poss Per Game
Abilene Christian Wildcats,73.0,73.69
Adams State Grizzlies,83.0,82.0
Air Force Falcons,66.5,64.87
Akron Zips,74.39,68.23
Alabama A&M Bulldogs,68.81,73.63
Alabama Crimson Tide,90.84,76.06
Alabama State Hornets,69.19,72.35
Alcorn State Braves,72.16,69.36
Alice Lloyd College Eagles,82.0,73.49
American University Eagles,69.13,64.82
App State Mountaineers,78.88,72.34
Apprentice School Builders,56.0,72.7
Arizona State Sun Devils,69.42,71.84
Arizona Wildcats,88.84,76.04
Arkansas Razorbacks,78.12,74.8
Arkansas State Red Wolves,76.65,69.59
Arkansas-Pine Bluff Golden Lions,77.03,72.97
Army Black Knights,60.06,64.73
Auburn Tigers,83.24,72.68
Austin Peay Governors,74.45,67.95
Avila Eagles,48.0,73.12
BYU Cougars,82.31,70.94
Ball State Cardinals,73.67,69.61
Baylor Bears,81.12,69.54
Bellarmine Knights,68.87,67.88
Belmont Bruins,78.38,73.25
Bethany (WV) Bison,56.0,85.82
Bethel (TN) Wildcats,74.0,76.82
Bethesda University Flames,63.29,82.21
Bethune-Cookman Wildcats,73.16,73.86
Binghamton Bearcats,72.38,70.58
Blue Mountain Toppers,60.0,72.31
Bob Jones Bruins,49.0,68.96
Boise State Broncos,76.13,68.45
Boston College Eagles,75.0,69.52
Boston University Terriers,66.06,67.34
Bowling Green Falcons,73.97,71.54
Boyce Bulldogs,56.5,75.89
Bradley Braves,74.81,69.12
Brescia Bearcats,57.33,80.12
Brevard Tornados,68.0,74.77
Bridgewater College (VA) Eagles,70.0,70.42
Brown Bears,71.7,70.3
Bryant Bulldogs,79.0,77.62
Bryn Athyn Lions,40.0,65.96
Bucknell Bison,65.25,65.71
Buffalo Bulls,68.0,71.69
Butler Bulldogs,77.42,71.36
Cairn University Highlanders,65.0,73.49
Cal Poly Mustangs,62.9,68.98
Cal State Bakersfield Roadrunners,68.42,68.22
Cal State Fullerton Titans,67.77,69.22
Cal State Northridge Matadors,75.24,75.39
California Baptist Lancers,67.66,67.5
California Golden Bears,73.9,72.29
Campbell Fighting Camels,71.13,69.0
Canisius Golden Griffins,70.97,70.7
Carolina University Bruins,51.0,82.06
