Trend,count_gt1,count_lt-1,over_hit_rate_gt1,under_hit_rate_lt-1,total_games
All Over - 0 OFF and 2 DEF over 100,0.0,106.0,0.0,0.5094339622641509,190.0
All Over - 1 OFF and 0 DEF over 100,0.0,0.0,0.0,0.0,5.0
All Over - 1 OFF and 1 DEF over 100,0.0,11.0,0.0,0.45454545454545453,56.0
All Over - 1 OFF and 2 DEF over 100,38.0,0.0,0.5,0.0,329.0
All Over - 2 OFF and 0 DEF over 100,0.0,3.0,0.0,0.0,74.0
All Over - 2 OFF and 1 DEF over 100,0.0,10.0,0.0,0.1,168.0
All Over - 2 OFF and 2 DEF over 100,142.0,0.0,0.5,0.0,182.0
All Under - 0 OFF and 0 DEF under 100,2.0,174.0,0.5,0.5344827586206896,331.0
All Under - 0 OFF and 1 DEF under 100,48.0,3.0,0.5208333333333334,0.3333333333333333,118.0
All Under - 0 OFF and 2 DEF under 100,0.0,32.0,0.0,0.53125,60.0
All Under - 1 OFF and 0 DEF under 100,0.0,44.0,0.0,0.5454545454545454,76.0
All Under - 1 OFF and 1 DEF under 100,3.0,0.0,1.0,0.0,5.0
All Under - 2 OFF and 0 DEF under 100,0.0,2.0,0.0,0.0,11.0
EP Over/Tempo Under - 0/0 OFF over 100/110 - 0/0 DEF under 100/95,0.0,4.0,0.0,0.25,23.0
EP Over/Tempo Under - 1/0 OFF over 100/110 - 0/0 DEF under 100/95,1.0,10.0,0.0,0.4,258.0
EP Over/Tempo Under - 1/0 OFF over 100/110 - 1/0 DEF under 100/95,0.0,0.0,0.0,0.0,3.0
EP Over/Tempo Under - 1/0 OFF over 100/110 - 1/1 DEF under 100/95,0.0,0.0,0.0,0.0,1.0
EP Over/Tempo Under - 1/1 OFF over 100/110 - 0/0 DEF under 100/95,4.0,0.0,0.0,0.0,49.0
EP Over/Tempo Under - 1/1 OFF over 100/110 - 1/0 DEF under 100/95,0.0,0.0,0.0,0.0,5.0
EP Over/Tempo Under - 2/0 OFF over 100/110 - 0/0 DEF under 100/95,388.0,0.0,0.5180412371134021,0.0,550.0
EP Over/Tempo Under - 2/0 OFF over 100/110 - 1/0 DEF under 100/95,13.0,0.0,0.5384615384615384,0.0,31.0
EP Over/Tempo Under - 2/0 OFF over 100/110 - 1/1 DEF under 100/95,0.0,0.0,0.0,0.0,3.0
