Player,SG OTT,SG OTT Percentile,Driving Distance,Distance Percentile,Driving Accuracy,Accuracy Percentile,Good Drive %,GD % Percentile,SG Approach,SG App. Percentile,GIR %,GIR Percentile,RTP Approach 175-200,RTP Approach 175-200 Percentile,RTP Approach 175-200 R,RTP Approach 175-200 R Percentile,RTP Approach 125-150,RTP Approach 125-150 Percentile,RTP Approach 125-150 R,RTP Approach 125-150 R Percentile,SG ATG,SG ATG Percentile,Scrambling %,Srambling % Percentile,RTP Scrambling Rough,RTP Scrambling Rough Percentile,SG Putting,SG Putting Percentile,Putting Avg,Putting Avg Percentile,3 Putt %,3 Putt % Percentile,Total Percentile,Rank
Scottie Scheffler,0.776,0.983,303.3,0.573,0.6452,0.841,0.8413,0.87,1.342,1.0,0.7025,0.95,-0.13,1.0,0.0,0.944,-0.114,0.5369999999999999,0.0,0.825,0.21,0.793,0.7004,0.994,0.344,0.927,0.359,0.864,1.7,0.94,0.0174,0.893,0.8779099999999999,1.0
Harry Hall,-0.028,0.369,301.8,0.491,0.5919,0.48,0.8198,0.632,-0.042,0.396,0.6586,0.557,-0.094,0.961,0.107,0.758,-0.202,0.91,0.0,0.825,0.296,0.891,0.6457,0.879,0.378,0.8140000000000001,0.796,0.994,1.678,0.962,0.0152,0.967,0.7386725000000001,2.0
Alex Smalley,0.452,0.907,306.3,0.721,0.6444,0.83,0.8422,0.887,0.286,0.728,0.6893,0.841,-0.03,0.746,0.04,0.888,-0.112,0.52,0.074,0.532,0.404,0.945,0.6457,0.879,0.434,0.565,0.224,0.744,1.749,0.514,0.0288,0.31100000000000005,0.7296725000000002,3.0
Shane Lowry,0.172,0.608,295.2,0.196,0.6482,0.852,0.8368,0.824,1.02,0.994,0.6806,0.781,-0.121,0.989,0.0,0.944,-0.153,0.741,0.048,0.645,0.271,0.864,0.6449,0.868,0.37,0.848,-0.021,0.407,1.755,0.42700000000000005,0.0243,0.616,0.72148,4.0
Justin Thomas,0.062,0.467,304.3,0.606,0.5686,0.327,0.8086,0.502,0.664,0.956,0.6622,0.606,-0.087,0.95,0.043,0.871,-0.236,0.955,0.026,0.729,0.257,0.842,0.5921,0.36,0.457,0.41900000000000004,0.465,0.918,1.658,0.968,0.0167,0.927,0.7120975,5.0
Sepp Straka,0.295,0.766,294.6,0.163,0.6852,0.945,0.8466,0.915,1.006,0.989,0.714,0.978,-0.083,0.944,0.304,0.21499999999999997,-0.255,0.978,0.214,0.14200000000000002,-0.14,0.25,0.6115,0.562,0.384,0.7969999999999999,0.427,0.907,1.703,0.929,0.0206,0.791,0.7065400000000002,6.0
Russell Henley,-0.062,0.336,284.2,0.016,0.6774,0.928,0.8613,0.966,0.538,0.913,0.6982,0.928,0.019,0.44699999999999995,0.25,0.356,-0.146,0.7070000000000001,-0.1,0.967,0.393,0.94,0.6109,0.557,0.341,0.938,0.226,0.75,1.725,0.8200000000000001,0.0265,0.45199999999999996,0.68206,7.0
Andrew Putnam,-0.596,0.043,282.3,0.01,0.6985,0.972,0.8529,0.937,0.402,0.82,0.7018,0.939,-0.08,0.933,0.133,0.69,-0.205,0.916,0.25,0.09099999999999997,0.433,0.956,0.673,0.967,0.425,0.611,0.341,0.853,1.764,0.32799999999999996,0.0204,0.8140000000000001,0.6757000000000001,8.0
Keegan Bradley,0.353,0.842,303.9,0.601,0.625,0.737,0.8267,0.711,0.577,0.923,0.6644,0.644,0.0,0.611,0.125,0.718,-0.184,0.871,0.136,0.379,0.289,0.885,0.5894,0.355,0.441,0.515,-0.214,0.222,1.724,0.831,0.0189,0.854,0.6704650000000001,9.0
Daniel Berger,0.445,0.896,300.7,0.475,0.6827,0.939,0.8599,0.954,0.466,0.875,0.6816,0.786,0.122,0.040000000000000036,0.042,0.882,-0.135,0.645,0.0,0.825,0.241,0.82,0.6443,0.857,0.349,0.921,-0.092,0.32,1.768,0.29000000000000004,0.0331,0.17000000000000004,0.666055,10.0
J.J. Spaun,0.232,0.706,305.0,0.655,0.6143,0.661,0.8279,0.717,0.761,0.972,0.6803,0.77,-0.034,0.775,0.074,0.8200000000000001,-0.218,0.927,-0.075,0.927,-0.073,0.32,0.6006,0.431,0.505,0.249,0.067,0.527,1.745,0.585,0.0214,0.78,0.66584,11.0
Si Woo Kim,0.308,0.793,295.5,0.213,0.6461,0.846,0.8361,0.819,0.195,0.635,0.6528,0.437,0.007,0.5369999999999999,0.045,0.859,-0.094,0.41300000000000003,0.174,0.249,0.379,0.923,0.6347,0.797,0.342,0.933,-0.064,0.347,1.723,0.837,0.0185,0.865,0.6653025,12.0
Brice Garnett,0.005,0.423,288.5,0.065,0.6861,0.95,0.8608,0.96,-0.359,0.146,0.6856,0.808,-0.048,0.837,0.214,0.475,-0.18,0.865,0.0,0.825,0.169,0.711,0.6667,0.945,0.36,0.876,0.335,0.847,1.762,0.356,0.0227,0.712,0.6604924999999999,13.0
Collin Morikawa,0.429,0.88,292.6,0.12,0.7287,0.994,0.8688,0.977,0.71,0.967,0.6764,0.737,-0.129,0.995,0.417,0.08499999999999996,-0.24,0.972,0.538,0.006000000000000005,0.014,0.478,0.6052,0.497,0.467,0.385,0.193,0.711,1.698,0.951,0.0236,0.6950000000000001,0.6594749999999999,14.0
Sungjae Im,0.429,0.88,294.0,0.142,0.6864,0.956,0.8414,0.875,-0.865,0.01,0.6224,0.12,-0.041,0.7969999999999999,0.192,0.532,-0.112,0.52,0.063,0.571,0.557,0.983,0.6334,0.775,0.399,0.724,0.291,0.831,1.696,0.957,0.0226,0.735,0.656325,15.0
Patrick Cantlay,0.307,0.788,302.6,0.546,0.6019,0.557,0.8488,0.932,0.628,0.945,0.7053,0.967,0.024,0.41300000000000003,0.143,0.6619999999999999,-0.178,0.848,-0.074,0.921,0.025,0.494,0.582,0.267,0.519,0.18700000000000006,0.165,0.663,1.729,0.787,0.0242,0.633,0.6557275,16.0
Thorbjørn Olesen,0.269,0.755,304.8,0.644,0.6235,0.732,0.836,0.813,0.35,0.793,0.6898,0.852,-0.065,0.899,0.417,0.08499999999999996,-0.1,0.43000000000000005,0.286,0.05700000000000005,0.122,0.652,0.6169,0.65,0.372,0.831,0.267,0.804,1.756,0.42100000000000004,0.017,0.91,0.6546449999999999,17.0
Sam Ryder,-0.209,0.201,297.9,0.311,0.5908,0.459,0.8073,0.474,0.205,0.641,0.6538,0.464,-0.031,0.752,0.03,0.899,-0.156,0.752,-0.032,0.842,-0.118,0.304,0.6451,0.874,0.36,0.876,0.749,0.978,1.722,0.847,0.0203,0.8200000000000001,0.65034,18.0
Keith Mitchell,0.595,0.951,314.4,0.939,0.5944,0.502,0.8292,0.734,0.284,0.717,0.6902,0.857,0.048,0.277,-0.167,1.0,-0.153,0.741,-0.042,0.865,-0.138,0.26,0.6103,0.54,0.411,0.656,0.108,0.565,1.731,0.771,0.0395,0.040000000000000036,0.6478975,19.0
Rory McIlroy,0.675,0.978,319.2,0.978,0.5085,0.032,0.7881,0.214,0.155,0.592,0.6585,0.551,-0.082,0.938,0.294,0.243,-0.226,0.938,0.188,0.22599999999999998,0.142,0.679,0.6555,0.923,0.406,0.6779999999999999,0.512,0.94,1.7,0.94,0.0343,0.14200000000000002,0.6436749999999999,20.0
Danny Willett,-0.01,0.402,293.9,0.136,0.6162,0.666,0.8158,0.593,-0.819,0.027,0.6481,0.366,-0.022,0.69,0.091,0.786,-0.225,0.933,-0.111,0.972,0.415,0.951,0.6794,0.978,0.311,0.984,0.757,0.983,1.787,0.10399999999999998,0.0168,0.921,0.643005,21.0
Tommy Fleetwood,0.234,0.711,296.8,0.234,0.6392,0.819,0.8323,0.757,0.614,0.934,0.64,0.278,0.064,0.18700000000000006,0.24,0.368,-0.228,0.944,0.16,0.277,0.263,0.853,0.6174,0.666,0.421,0.628,0.237,0.766,1.718,0.875,0.022,0.758,0.6377575,22.0
Nick Taylor,-0.044,0.347,290.8,0.092,0.6715,0.912,0.8404,0.853,0.61,0.929,0.7037,0.956,-0.009,0.645,0.24,0.368,-0.157,0.758,-0.259,1.0,0.091,0.597,0.6354,0.814,0.435,0.5489999999999999,0.135,0.603,1.757,0.41000000000000003,0.0267,0.43000000000000005,0.6309149999999999,23.0
Ryan Fox,0.107,0.554,305.7,0.693,0.5647,0.278,0.7981,0.322,0.521,0.907,0.6558,0.486,0.01,0.486,0.048,0.854,-0.146,0.7070000000000001,0.061,0.5880000000000001,0.1,0.625,0.5719,0.185,0.394,0.758,0.161,0.652,1.709,0.908,0.0169,0.916,0.6224775000000001,24.0
Matteo Manassero,-0.924,0.027,285.7,0.038,0.6169,0.677,0.7989,0.338,0.275,0.706,0.6506,0.409,-0.03,0.746,0.353,0.14200000000000002,-0.196,0.904,-0.091,0.955,0.608,0.994,0.7029,1.0,0.33,0.95,0.287,0.826,1.728,0.815,0.0278,0.396,0.6190125000000001,25.0
Kevin Roy,0.255,0.739,306.3,0.721,0.6327,0.803,0.8215,0.661,0.094,0.554,0.6905,0.863,0.054,0.255,0.217,0.45199999999999996,-0.084,0.33399999999999996,-0.08,0.938,-0.022,0.402,0.6264,0.726,0.402,0.718,0.036,0.478,1.767,0.31200000000000006,0.0147,0.972,0.615965,26.0
Thomas Detry,0.202,0.646,304.5,0.622,0.5654,0.289,0.8115,0.531,-0.104,0.326,0.6597,0.568,-0.101,0.967,0.0,0.944,-0.165,0.7969999999999999,0.105,0.42400000000000004,0.019,0.489,0.6122,0.568,0.417,0.645,0.378,0.88,1.75,0.503,0.0238,0.673,0.6144274999999999,27.0
Matt Kuchar,-0.269,0.173,284.7,0.027,0.617,0.683,0.8208,0.649,-0.047,0.385,0.614,0.071,0.028,0.396,-0.111,0.995,-0.213,0.921,0.304,0.040000000000000036,0.284,0.88,0.6705,0.956,0.34,0.944,0.269,0.809,1.731,0.771,0.0117,0.995,0.60798,28.0
Sam Stevens,0.178,0.619,304.4,0.617,0.5842,0.409,0.802,0.395,-0.134,0.309,0.649,0.382,-0.007,0.616,0.118,0.741,-0.141,0.673,0.0,0.825,0.19,0.744,0.6571,0.928,0.375,0.8200000000000001,0.154,0.635,1.768,0.29000000000000004,0.0236,0.6950000000000001,0.6038600000000001,29.0
Henrik Norlander,-0.158,0.25,296.7,0.229,0.652,0.863,0.8352,0.796,0.815,0.983,0.6765,0.743,-0.039,0.791,0.115,0.746,-0.158,0.763,0.042,0.673,-0.289,0.119,0.633,0.77,0.371,0.842,0.032,0.472,1.762,0.356,0.0261,0.469,0.6030600000000002,30.0
Corey Conners,0.531,0.934,295.0,0.185,0.6884,0.961,0.8461,0.909,0.26,0.69,0.6964,0.912,-0.016,0.667,0.25,0.356,-0.122,0.5820000000000001,0.179,0.238,-0.043,0.358,0.6151,0.622,0.316,0.978,0.122,0.586,1.758,0.394,0.0316,0.238,0.6026850000000001,31.0
