Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Alabama,91.2,87.7,93,91.3,91.1,90.1
2,Gonzaga,87.5,91.7,85,91.2,84.3,83.4
3,Kentucky,85.8,88.0,91,90.7,79.1,89.0
4,Auburn,85.2,85.7,91,87.3,83.1,83.1
5,Missouri,84.5,86.7,83,87.4,79.5,72.2
6,Florida,84.5,92.7,90,86.3,82.5,85.6
7,South Dakota,84.4,84.0,75,88.2,81.4,74.3
8,Illinois,83.7,87.3,88,84.4,82.9,83.4
9,Duke,83.5,91.7,82,85.5,81.0,78.6
10,Akron,83.3,87.0,88,87.4,79.4,72.0
11,Cornell,83.2,97.3,100,84.3,82.2,80.4
12,Winthrop,82.3,81.0,69,89.8,77.6,75.0
13,Iowa,82.3,74.7,83,86.6,76.3,83.1
14,UAB,82.2,79.3,68,83.6,80.2,77.0
15,Arizona,82.0,85.3,76,87.3,76.3,87.1
16,Samford,82.0,91.0,78,82.5,81.5,84.5
17,High Point,81.7,80.7,81,82.5,81.0,82.1
18,North Carolina,81.7,84.0,69,84.9,78.8,81.9
19,St Thomas,81.6,80.0,75,85.5,79.5,70.4
20,Maryland,81.5,71.0,74,84.3,77.1,69.0
21,Yale,81.5,70.3,70,83.0,80.6,73.2
22,BYU,81.4,83.3,85,85.9,75.8,81.4
23,Santa Clara,81.3,83.0,76,82.9,79.9,76.0
24,Texas Tech,81.1,84.7,85,83.7,77.5,75.3
24,Cal Poly,81.1,93.7,83,84.0,79.0,63.1
24,SMU,81.1,71.3,69,83.2,78.6,76.7
27,N Florida,80.9,77.3,69,83.9,78.9,75.6
28,New Mexico,80.9,81.3,81,83.3,78.5,80.8
29,Wisconsin,80.8,70.3,75,83.0,78.1,74.7
30,N Dakota St,80.7,81.0,84,82.7,79.4,71.9
31,Utah St,80.3,72.7,87,86.6,73.2,78.9
32,Iowa St,80.1,80.7,73,83.8,75.6,75.3
33,CS Northridge,80.1,88.0,82,80.5,79.8,73.8
34,Bryant,80.1,85.0,85,81.1,79.5,75.8
35,Memphis,80.0,82.3,84,80.7,79.3,80.5
36,Vanderbilt,79.9,80.7,68,84.0,74.9,67.9
37,N Colorado,79.8,75.7,76,84.8,76.4,79.0
38,Mississippi St,79.6,85.0,92,83.3,76.2,74.1
39,Purdue FW,79.4,66.0,67,82.5,77.3,78.3
40,Louisville,79.3,77.3,68,78.0,80.9,72.0
41,Ohio St,79.1,87.7,60,84.7,72.3,75.5
41,Penn St,79.1,76.0,86,83.8,73.4,75.1
43,S Dakota St,79.0,69.3,69,87.9,73.6,75.2
44,Indiana St,79.0,85.0,85,78.0,79.6,84.7
45,Belmont,78.9,65.3,50,81.6,76.5,77.4
46,NC Asheville,78.9,79.0,67,83.3,76.4,75.9
47,Ohio,78.9,78.7,82,81.8,76.3,76.3
48,Washington St,78.8,86.3,75,85.9,73.6,73.5
49,Florida Atlantic,78.6,76.7,81,79.2,78.3,82.0
50,St John's,78.6,77.7,86,81.0,75.3,78.8
50,Oklahoma,78.6,85.3,76,83.2,73.0,75.4
52,UCF,78.6,75.3,65,75.9,82.2,71.7
53,Michigan,78.5,66.7,62,82.2,74.7,72.9
54,Arkansas St,78.5,77.3,81,78.6,78.4,78.8
55,Chattanooga,78.4,81.3,77,80.9,76.4,76.8
55,Michigan St,78.4,80.3,79,81.9,74.7,72.9
57,UCSD,78.3,79.3,68,80.2,76.9,74.7
58,Purdue,78.3,85.3,80,85.1,70.9,82.3
59,Texas,78.1,75.3,72,82.2,72.5,75.4
60,UConn,78.0,76.0,81,81.3,74.6,81.4
61,N Alabama,78.0,77.7,65,84.9,71.9,74.8
62,Temple,78.0,73.3,66,80.3,76.2,70.5
63,Miami OH,77.9,76.3,79,84.0,72.3,68.6
64,Omaha,77.8,85.0,85,79.5,76.8,72.3
65,Xavier,77.7,83.3,76,81.5,73.1,75.9
66,Lipscomb,77.7,80.3,76,80.4,75.0,80.4
67,Mississippi,77.6,78.7,71,78.1,77.1,74.9
68,Grand Canyon,77.6,78.0,81,82.3,71.8,77.8
69,Rhode Island,77.3,82.7,86,79.8,74.3,71.8
70,UMBC,77.3,72.3,74,77.8,76.8,78.5
71,VCU,77.1,75.7,76,79.5,74.7,71.0
72,Columbia,77.1,78.7,81,81.3,72.5,73.6
73,Toledo,77.1,85.7,96,77.3,76.9,80.0
74,Clemson,77.1,71.3,65,80.5,72.9,77.4
75,Marquette,76.9,75.3,84,80.4,72.8,78.1
76,Delaware,76.9,87.0,82,78.1,76.2,72.3
77,NC Wilmington,76.8,78.3,68,78.0,75.5,75.8
78,Oregon,76.7,78.3,80,78.3,75.1,75.6
79,Charleston,76.7,77.7,67,83.2,71.7,80.5
80,Milwaukee,76.7,74.7,64,79.6,74.1,79.0
81,Arkansas,76.6,78.7,93,80.2,72.4,77.8
81,Rutgers,76.6,76.0,75,75.6,77.8,65.4
83,Pittsburgh,76.6,74.7,93,83.1,68.6,75.6
84,Longwood,76.6,73.7,79,76.2,76.9,72.9
85,E Kentucky,76.5,69.3,67,79.0,75.1,76.5
86,William & Mary,76.5,73.0,78,79.3,74.6,68.5
87,Wright St,76.5,81.3,62,80.0,73.9,86.2
88,Morgan St,76.4,79.0,75,79.6,74.1,69.8
89,USC,76.4,72.0,63,79.9,70.8,74.1
90,Robert Morris,76.4,81.3,79,76.9,75.9,72.2
91,North Dakota,76.3,77.7,69,81.4,72.8,73.8
92,S Carolina St,76.2,85.7,87,83.3,72.7,69.3
93,San Francisco,76.2,79.0,76,79.5,73.2,76.2
94,UMass Lowell,76.1,71.0,64,81.5,70.3,77.0
95,Tennessee St,76.1,70.7,69,79.8,73.6,70.2
96,Manhattan,76.0,84.3,78,77.7,74.5,65.7
97,Bradley,75.9,62.7,48,78.4,73.8,74.2
98,Saint Joseph's,75.8,85.0,74,77.7,73.5,75.5
99,Norfolk St,75.8,85.3,81,80.9,73.3,70.6
100,Baylor,75.7,64.3,61,81.1,70.4,79.9
