Rank,Team,2024,Last 3,Last 1,Home,Away,2023,similarity,team,Avg Points Per Game,Avg Poss Per Game
1,Alabama,78.7,80.8,83.7,78.9,78.4,76.2,53.84615384615385,North Alabama Lions,76.65,71.38
2,Cal Poly,77.7,77.7,71.7,77.2,78.1,68.9,64.0,Cal Poly Mustangs,62.9,68.98
3,South Dakota,77.0,79.3,80.1,77.3,76.7,72.2,75.0,South Dakota Coyotes,76.52,72.29
4,Winthrop,76.8,74.2,73.3,78.7,75.6,71.2,69.56521739130434,Winthrop Eagles,78.03,71.37
5,New Mexico,76.0,75.0,72.2,76.6,75.5,74.2,76.92307692307692,New Mexico Lobos,82.12,71.92
6,UCF,75.7,75.3,72.4,73.3,78.9,71.3,42.85714285714286,UCF Knights,71.48,70.87
7,Alabama A&M,75.4,65.2,64.2,76.2,74.7,73.7,70.96774193548387,Alabama A&M Bulldogs,68.81,73.63
8,Bryant,75.4,74.6,76.3,74.8,75.8,77.5,57.14285714285714,Bryant Bulldogs,79.0,77.62
9,N Florida,75.1,73.6,72.8,74.4,75.6,70.5,69.56521739130434,Florida Gators,85.68,75.63
10,SC Upstate,75.0,76.6,76.3,76.0,74.4,69.9,55.172413793103445,Boise State Broncos,76.13,68.45
11,Akron,75.0,72.7,70.5,73.2,76.6,68.4,66.66666666666667,Akron Zips,74.39,68.23
12,CS Northridge,74.8,75.3,73.3,76.1,74.1,75.4,61.904761904761905,Cal State Northridge Matadors,75.24,75.39
13,W Kentucky,74.8,68.1,70.1,75.3,74.1,77.2,74.07407407407408,Kentucky Wildcats,89.52,76.09
14,Grand Canyon,74.5,75.6,85.4,75.1,73.8,71.8,80.0,Grand Canyon Lopes,79.5,70.96
15,Indiana St,74.5,73.9,73.6,72.7,75.7,73.1,60.60606060606061,Indiana State Sycamores,84.55,72.87
16,Illinois,74.4,70.7,73.0,73.9,75.2,72.3,55.172413793103445,Saint Louis Billikens,75.0,71.15
17,Fresno St,74.4,64.9,74.0,72.6,76.0,68.4,60.0,Fresno State Bulldogs,67.44,68.08
18,Tennessee St,74.4,67.3,62.8,76.1,73.3,71.1,70.58823529411764,Tennessee State Tigers,73.16,71.72
19,Morgan St,74.4,76.1,79.4,73.8,74.8,73.8,66.66666666666667,Morgan State Bears,72.93,73.51
20,Kentucky,74.1,75.6,73.8,74.4,73.7,76.7,64.0,Kentucky Wildcats,89.52,76.09
21,Samford,74.1,74.6,73.0,73.4,74.6,75.7,60.86956521739131,Samford Bulldogs,86.27,75.5
22,AR-Pine Bluff,74.0,65.4,64.3,73.8,74.2,74.7,57.77777777777777,Arkansas-Pine Bluff Golden Lions,77.03,75.4
23,UMass,74.0,71.1,68.2,73.4,74.6,71.5,47.05882352941176,SMU Mustangs,76.87,69.79
